,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
1,8/25/2024,15:30,Bundesliga,Matchweek 1,Sun,Away,W,3,2,Wolfsburg,2.4,1.9,70,30000,Manuel Neuer,4-2-3-1,4-2-3-1,,Match Report,,15,8,11.1,0,0,0,2025,Bayern Munich
2,9/1/2024,17:30,Bundesliga,Matchweek 2,Sun,Home,W,2,0,Freiburg,1.5,1,66,75000,Manuel Neuer,4-1-4-1,4-2-3-1,Christian Dingert,Match Report,,11,2,16,0,1,1,2025,Bayern Munich
3,9/14/2024,18:30,Bundesliga,Matchweek 3,Sat,Away,W,6,1,Holstein Kiel,3.2,0.3,70,15034,Manuel Neuer,4-2-3-1,4/3/2003,Tobias Reichel,Match Report,,22,11,15.9,0,1,1,2025,Bayern Munich
5,9/21/2024,15:30,Bundesliga,Matchweek 4,Sat,Away,W,5,0,Werder Bremen,3,0,69,42100,Joshua Kimmich,4-2-3-1,3/5/2002,Bastian Dankert,Match Report,,25,7,17.3,1,0,0,2025,Bayern Munich
6,9/28/2024,18:30,Bundesliga,Matchweek 5,Sat,Home,D,1,1,Leverkusen,1.4,0.1,69,75000,Manuel Neuer,4-2-3-1,3/4/2003,Felix Zwayer,Match Report,,18,3,19.3,1,0,0,2025,Bayern Munich
8,10/6/2024,17:30,Bundesliga,Matchweek 6,Sun,Away,D,3,3,Eint Frankfurt,2.2,1.2,74,58000,Manuel Neuer,4-2-3-1,4/4/2002,Benjamin Brand,Match Report,,24,13,17.5,2,0,0,2025,Bayern Munich
9,10/19/2024,18:30,Bundesliga,Matchweek 7,Sat,Home,W,4,0,Stuttgart,3.2,0.5,65,75000,Manuel Neuer,4-2-3-1,4-2-3-1,Tobias Stieler,Match Report,,22,10,15.9,0,0,0,2025,Bayern Munich
11,10/27/2024,15:30,Bundesliga,Matchweek 8,Sun,Away,W,5,0,Bochum,2.2,0.6,72,26000,Manuel Neuer,4-2-3-1,3/5/2002,Florian Exner,Match Report,,19,10,17,1,0,0,2025,Bayern Munich
13,11/2/2024,15:30,Bundesliga,Matchweek 9,Sat,Home,W,3,0,Union Berlin,2.5,0.5,77,75000,Manuel Neuer,4-2-3-1,3/4/2003,Matthias Jöllenbeck,Match Report,,15,6,16.6,0,1,1,2025,Bayern Munich
15,11/9/2024,15:30,Bundesliga,Matchweek 10,Sat,Away,W,1,0,St. Pauli,0.8,0.1,75,29546,Manuel Neuer,4-2-3-1,5/4/2001,Timo Gerach,Match Report,,13,6,19,0,0,0,2025,Bayern Munich
16,11/22/2024,20:30,Bundesliga,Matchweek 11,Fri,Home,W,3,0,Augsburg,3.7,0.1,80,75000,Manuel Neuer,4-2-3-1,3/5/2002,Daniel Schlager,Match Report,,31,12,18.1,1,2,2,2025,Bayern Munich
18,11/30/2024,18:30,Bundesliga,Matchweek 12,Sat,Away,D,1,1,Dortmund,1.5,0.6,67,81365,Manuel Neuer,4-2-3-1,4-2-3-1,Sven Jablonski,Match Report,,14,5,19.4,2,0,0,2025,Bayern Munich
20,12/7/2024,15:30,Bundesliga,Matchweek 13,Sat,Home,W,4,2,Heidenheim,2.4,1.3,82,75000,Thomas Müller,4-2-3-1,5/3/2002,Sören Storks,Match Report,,21,10,15.8,0,0,0,2025,Bayern Munich
22,12/14/2024,15:30,Bundesliga,Matchweek 14,Sat,Away,L,1,2,Mainz 05,1.4,1,68,33305,Thomas Müller,4-2-3-1,3/4/2003,Frank Willenborg,Match Report,,13,1,16.2,0,0,0,2025,Bayern Munich
23,12/20/2024,20:30,Bundesliga,Matchweek 15,Fri,Home,W,5,1,RB Leipzig,3.3,0.4,71,75000,Joshua Kimmich,4-2-3-1,5/3/2002,Daniel Siebert,Match Report,,22,9,14.6,1,0,0,2025,Bayern Munich
1,8/23/2024,20:30,Bundesliga,Matchweek 1,Fri,Away,W,3,2,Gladbach,2.7,1.6,57,54042,Lukáš Hrádecký,3/4/2003,4-2-3-1,,Match Report,,24,9,18.3,1,0,1,2025,Bayer Leverkusen
3,8/31/2024,18:30,Bundesliga,Matchweek 2,Sat,Home,L,2,3,RB Leipzig,2.2,1.1,62,29615,Jonathan Tah,3/4/2003,3/4/2003,Matthias Jöllenbeck,Match Report,,26,10,15.6,0,0,0,2025,Bayer Leverkusen
4,9/14/2024,15:30,Bundesliga,Matchweek 3,Sat,Away,W,4,1,Hoffenheim,3.5,0.9,60,30150,Lukáš Hrádecký,3/4/2003,3-4-1-2,Daniel Schlager,Match Report,,19,6,15.8,1,1,1,2025,Bayer Leverkusen
6,9/22/2024,15:30,Bundesliga,Matchweek 4,Sun,Home,W,4,3,Wolfsburg,1.9,0.7,78,29250,Lukáš Hrádecký,3/4/2003,4-1-4-1,Sascha Stegemann,Match Report,,20,7,16.3,0,0,0,2025,Bayer Leverkusen
7,9/28/2024,18:30,Bundesliga,Matchweek 5,Sat,Away,D,1,1,Bayern Munich,0.1,1.4,31,75000,Lukáš Hrádecký,3/4/2003,4-2-3-1,Felix Zwayer,Match Report,,3,2,40.5,0,0,0,2025,Bayer Leverkusen
9,10/5/2024,15:30,Bundesliga,Matchweek 6,Sat,Home,D,2,2,Holstein Kiel,2.1,1.6,74,30210,Lukáš Hrádecký,3/4/2003,3/5/2002,Robert Hartmann,Match Report,,23,7,18.3,0,0,0,2025,Bayer Leverkusen
10,10/19/2024,15:30,Bundesliga,Matchweek 7,Sat,Home,W,2,1,Eint Frankfurt,3.8,1.9,54,30210,Lukáš Hrádecký,3/4/2003,4/4/2002,Felix Brych,Match Report,,26,8,17.4,0,0,1,2025,Bayer Leverkusen
12,10/26/2024,18:30,Bundesliga,Matchweek 8,Sat,Away,D,2,2,Werder Bremen,1.3,1.6,57,42100,Lukáš Hrádecký,3/4/2003,3/4/2003,Florian Badstübner,Match Report,,14,5,15.2,1,0,0,2025,Bayer Leverkusen
14,11/1/2024,20:30,Bundesliga,Matchweek 9,Fri,Home,D,0,0,Stuttgart,2.2,0.3,53,30210,Lukáš Hrádecký,3/4/2003,4/4/2002,Daniel Siebert,Match Report,,19,5,13.4,0,0,0,2025,Bayer Leverkusen
16,11/9/2024,15:30,Bundesliga,Matchweek 10,Sat,Away,D,1,1,Bochum,1.2,0.7,70,26000,Lukáš Hrádecký,3/4/2003,5/4/2001,Robert Hartmann,Match Report,,11,3,16.4,0,0,0,2025,Bayer Leverkusen
17,11/23/2024,15:30,Bundesliga,Matchweek 11,Sat,Home,W,5,2,Heidenheim,2.2,1.1,78,29103,Lukáš Hrádecký,3/4/2003,4-3-1-2,Bastian Dankert,Match Report,,20,10,17.8,0,0,0,2025,Bayer Leverkusen
19,11/30/2024,15:30,Bundesliga,Matchweek 12,Sat,Away,W,2,1,Union Berlin,0.9,0.7,62,22012,Lukáš Hrádecký,4/5/2001,3/4/2003,Christian Dingert,Match Report,,8,3,16.2,1,0,0,2025,Bayer Leverkusen
21,12/7/2024,15:30,Bundesliga,Matchweek 13,Sat,Home,W,2,1,St. Pauli,0.9,1.8,62,30210,Lukáš Hrádecký,3/5/2002,3/4/2003,Matthias Jöllenbeck,Match Report,,6,2,18.6,1,0,0,2025,Bayer Leverkusen
23,12/14/2024,15:30,Bundesliga,Matchweek 14,Sat,Away,W,2,0,Augsburg,0.8,0.6,65,29310,Lukáš Hrádecký,3/4/2003,3-1-4-2,Felix Zwayer,Match Report,,14,3,22.1,3,0,0,2025,Bayer Leverkusen
24,12/21/2024,18:30,Bundesliga,Matchweek 15,Sat,Home,W,5,1,Freiburg,2.8,0.7,67,30210,Lukáš Hrádecký,3/4/2003,4-2-3-1,Tobias Stieler,Match Report,,19,11,15.6,0,0,1,2025,Bayer Leverkusen
1,8/24/2024,18:30,Bundesliga,Matchweek 1,Sat,Away,L,0,2,Dortmund,1.4,1.7,31,81365,Kevin Trapp,4-2-3-1,3/4/2003,,Match Report,,7,2,17,0,0,0,2025,Eintracht Frankfurt
2,8/31/2024,15:30,Bundesliga,Matchweek 2,Sat,Home,W,3,1,Hoffenheim,2.4,1,50,57100,Kevin Trapp,3/4/2003,3-4-1-2,Florian Badstübner,Match Report,,18,7,15.5,0,0,0,2025,Eintracht Frankfurt
3,9/14/2024,15:30,Bundesliga,Matchweek 3,Sat,Away,W,2,1,Wolfsburg,2.5,1.5,40,26281,Kevin Trapp,4/4/2002,4-1-4-1,Harm Osmers,Match Report,,13,5,16.4,0,1,1,2025,Eintracht Frankfurt
4,9/21/2024,18:30,Bundesliga,Matchweek 4,Sat,Home,W,2,0,Gladbach,2.7,1.7,37,58000,Robin Koch,4/4/2002,4-2-3-1,Tobias Welz,Match Report,,18,4,16.2,2,0,0,2025,Eintracht Frankfurt
6,9/29/2024,15:30,Bundesliga,Matchweek 5,Sun,Away,W,4,2,Holstein Kiel,2.1,1.1,53,15034,Robin Koch,4-2-3-1,3/5/2002,Tobias Stieler,Match Report,,20,10,14.6,0,0,0,2025,Eintracht Frankfurt
8,10/6/2024,17:30,Bundesliga,Matchweek 6,Sun,Home,D,3,3,Bayern Munich,1.2,2.2,26,58000,Robin Koch,4/4/2002,4-2-3-1,Benjamin Brand,Match Report,,6,4,16.9,0,0,0,2025,Eintracht Frankfurt
9,10/19/2024,15:30,Bundesliga,Matchweek 7,Sat,Away,L,1,2,Leverkusen,1.9,3.8,46,30210,Kevin Trapp,4/4/2002,3/4/2003,Felix Brych,Match Report,,8,0,18.8,0,1,1,2025,Eintracht Frankfurt
11,10/27/2024,17:30,Bundesliga,Matchweek 8,Sun,Away,D,1,1,Union Berlin,1.5,1.4,52,22012,Kevin Trapp,3/5/2002,3/4/2003,Harm Osmers,Match Report,,17,5,17.4,1,0,0,2025,Eintracht Frankfurt
13,11/2/2024,15:30,Bundesliga,Matchweek 9,Sat,Home,W,7,2,Bochum,3.5,1.8,64,58000,Kevin Trapp,4/4/2002,4/4/2002,Daniel Schlager,Match Report,,18,9,17,2,0,0,2025,Eintracht Frankfurt
15,11/10/2024,17:30,Bundesliga,Matchweek 10,Sun,Away,W,3,2,Stuttgart,1.3,2.5,40,60000,Kevin Trapp,4/4/2002,4-2-3-1,Felix Zwayer,Match Report,,8,5,16.6,1,0,0,2025,Eintracht Frankfurt
16,11/23/2024,18:30,Bundesliga,Matchweek 11,Sat,Home,W,1,0,Werder Bremen,1.1,0.4,50,58000,Kevin Trapp,4/4/2002,3/4/2003,Florian Badstübner,Match Report,,15,5,19.6,0,0,0,2025,Eintracht Frankfurt
18,12/1/2024,17:30,Bundesliga,Matchweek 12,Sun,Away,W,4,0,Heidenheim,2.6,0.7,54,15000,Kevin Trapp,4/4/2002,3/4/2003,Florian Exner,Match Report,,14,8,17.2,0,0,0,2025,Eintracht Frankfurt
20,12/7/2024,15:30,Bundesliga,Matchweek 13,Sat,Home,D,2,2,Augsburg,1.7,0.6,66,57000,Kevin Trapp,4-2-2-2,3/5/2002,Bastian Dankert,Match Report,,16,4,16,0,0,0,2025,Eintracht Frankfurt
22,12/15/2024,19:30,Bundesliga,Matchweek 14,Sun,Away,L,1,2,RB Leipzig,0.9,1.9,56,40193,Kevin Trapp,3/4/2003,5/3/2002,Benjamin Brand,Match Report,,16,3,16.9,1,0,0,2025,Eintracht Frankfurt
23,12/21/2024,15:30,Bundesliga,Matchweek 15,Sat,Home,L,1,3,Mainz 05,2.4,0.6,70,58000,Robin Koch,3/5/2002,3/4/2003,Florian Badstübner,Match Report,,34,8,16.3,0,0,0,2025,Eintracht Frankfurt
1,8/24/2024,15:30,Bundesliga,Matchweek 1,Sat,Home,W,1,0,Bochum,1.3,1,62,44611,Willi Orban,4-2-2-2,4-1-2-1-2,,Match Report,,13,3,14.7,0,0,0,2025,RB Leipzig
2,8/31/2024,18:30,Bundesliga,Matchweek 2,Sat,Away,W,3,2,Leverkusen,1.1,2.2,38,29615,Péter Gulácsi,3/4/2003,3/4/2003,Matthias Jöllenbeck,Match Report,,8,4,18.2,0,0,0,2025,RB Leipzig
3,9/14/2024,15:30,Bundesliga,Matchweek 3,Sat,Home,D,0,0,Union Berlin,1.3,0.6,67,47800,Péter Gulácsi,3/4/2003,3/4/2003,Sven Jablonski,Match Report,,14,2,21.5,1,0,1,2025,RB Leipzig
5,9/22/2024,19:30,Bundesliga,Matchweek 4,Sun,Away,D,0,0,St. Pauli,0.7,1.4,69,29251,Willi Orban,4/4/2002,3/4/2003,Robert Hartmann,Match Report,,10,5,15.4,0,0,0,2025,RB Leipzig
6,9/28/2024,15:30,Bundesliga,Matchweek 5,Sat,Home,W,4,0,Augsburg,3,1.1,59,44407,Willi Orban,4/4/2002,3/4/2003,Daniel Siebert,Match Report,,17,6,14,0,0,0,2025,RB Leipzig
8,10/6/2024,15:30,Bundesliga,Matchweek 6,Sun,Away,W,1,0,Heidenheim,1.4,1,55,15000,Willi Orban,4-2-2-2,3-4-1-2,Sascha Stegemann,Match Report,,13,2,18.6,0,0,0,2025,RB Leipzig
9,10/19/2024,15:30,Bundesliga,Matchweek 7,Sat,Away,W,2,0,Mainz 05,1.9,0.6,47,30100,Willi Orban,3/4/2003,3/4/2003,Felix Zwayer,Match Report,,11,5,16.1,0,0,0,2025,RB Leipzig
11,10/26/2024,15:30,Bundesliga,Matchweek 8,Sat,Home,W,3,1,Freiburg,1.8,1.7,43,45908,Willi Orban,4-2-2-2,4-2-3-1,Sven Jablonski,Match Report,,12,9,13.4,0,0,0,2025,RB Leipzig
13,11/2/2024,18:30,Bundesliga,Matchweek 9,Sat,Away,L,1,2,Dortmund,0.5,2,43,81365,Willi Orban,4/4/2002,4-1-4-1,Tobias Stieler,Match Report,,7,2,18.8,0,0,0,2025,RB Leipzig
15,11/9/2024,18:30,Bundesliga,Matchweek 10,Sat,Home,D,0,0,Gladbach,1,0.9,61,46887,Willi Orban,3/4/2003,4-2-3-1,Christian Dingert,Match Report,,12,5,16.2,0,0,0,2025,RB Leipzig
16,11/23/2024,15:30,Bundesliga,Matchweek 11,Sat,Away,L,3,4,Hoffenheim,1.6,2,41,28023,Willi Orban,3/4/2003,4-2-3-1,Frank Willenborg,Match Report,,14,6,15.5,1,0,0,2025,RB Leipzig
18,11/30/2024,15:30,Bundesliga,Matchweek 12,Sat,Home,L,1,5,Wolfsburg,1,2.2,63,40000,Willi Orban,4/4/2002,4/3/2003,Martin Petersen,Match Report,,9,4,18.6,0,0,0,2025,RB Leipzig
20,12/7/2024,15:30,Bundesliga,Matchweek 13,Sat,Away,W,2,0,Holstein Kiel,1.6,1.2,44,14715,Willi Orban,3/5/2002,3/5/2002,Florian Badstübner,Match Report,,8,4,16.7,0,1,1,2025,RB Leipzig
22,12/15/2024,19:30,Bundesliga,Matchweek 14,Sun,Home,W,2,1,Eint Frankfurt,1.9,0.9,44,40193,Willi Orban,5/3/2002,3/4/2003,Benjamin Brand,Match Report,,19,9,16.2,1,0,0,2025,RB Leipzig
23,12/20/2024,20:30,Bundesliga,Matchweek 15,Fri,Away,L,1,5,Bayern Munich,0.4,3.3,29,75000,Willi Orban,5/3/2002,4-2-3-1,Daniel Siebert,Match Report,,4,1,11.4,0,0,0,2025,RB Leipzig
1,8/24/2024,15:30,Bundesliga,Matchweek 1,Sat,Home,D,1,1,Union Berlin,1.2,0.6,53,31500,Jonathan Burkardt,3/4/2003,3/4/2003,,Match Report,,14,3,15.4,1,0,0,2025,Mainz 05
2,8/31/2024,15:30,Bundesliga,Matchweek 2,Sat,Away,D,3,3,Stuttgart,2.3,3.8,37,59000,Jonathan Burkardt,3/4/2003,4-2-3-1,Timo Gerach,Match Report,,10,6,21.6,1,1,1,2025,Mainz 05
3,9/15/2024,17:30,Bundesliga,Matchweek 3,Sun,Home,L,1,2,Werder Bremen,1.1,1.6,58,32000,Jonathan Burkardt,3/4/2003,3/4/2003,Benjamin Brand,Match Report,,16,5,16.9,1,0,0,2025,Mainz 05
4,9/20/2024,20:30,Bundesliga,Matchweek 4,Fri,Away,W,3,2,Augsburg,1,2.4,27,28913,Jonathan Burkardt,3/4/2003,3/4/2003,Sören Storks,Match Report,,5,3,11.4,0,0,0,2025,Mainz 05
5,9/28/2024,15:30,Bundesliga,Matchweek 5,Sat,Home,L,0,2,Heidenheim,0.6,1.2,50,31500,Silvan Widmer,3/4/2003,4-2-3-1,Florian Exner,Match Report,,7,1,17.9,1,0,0,2025,Mainz 05
6,10/5/2024,18:30,Bundesliga,Matchweek 6,Sat,Away,W,3,0,St. Pauli,1.1,1,44,29546,Jonathan Burkardt,3/4/2003,3/4/2003,Christian Dingert,Match Report,,8,4,21.4,0,0,0,2025,Mainz 05
7,10/19/2024,15:30,Bundesliga,Matchweek 7,Sat,Home,L,0,2,RB Leipzig,0.6,1.9,53,30100,Jonathan Burkardt,3/4/2003,3/4/2003,Felix Zwayer,Match Report,,17,2,18.1,0,0,0,2025,Mainz 05
8,10/25/2024,20:30,Bundesliga,Matchweek 8,Fri,Home,D,1,1,Gladbach,1.7,0.7,52,33000,Jonathan Burkardt,3/4/2003,4-2-3-1,Martin Petersen,Match Report,,23,6,19.2,0,0,0,2025,Mainz 05
10,11/3/2024,15:30,Bundesliga,Matchweek 9,Sun,Away,D,0,0,Freiburg,0.5,0.8,49,34400,Jonathan Burkardt,3/4/2003,4-2-3-1,Benjamin Brand,Match Report,,9,2,17,0,0,0,2025,Mainz 05
11,11/9/2024,15:30,Bundesliga,Matchweek 10,Sat,Home,W,3,1,Dortmund,2,0.9,53,33000,Jonathan Burkardt,3/4/2003,4-1-4-1,Florian Badstübner,Match Report,,13,9,13.4,0,0,0,2025,Mainz 05
12,11/24/2024,15:30,Bundesliga,Matchweek 11,Sun,Away,W,3,0,Holstein Kiel,2.2,0.4,62,14906,Jonathan Burkardt,3/4/2003,3-1-4-2,Sascha Stegemann,Match Report,,17,6,18,1,1,1,2025,Mainz 05
13,12/1/2024,15:30,Bundesliga,Matchweek 12,Sun,Home,W,2,0,Hoffenheim,2.2,0.4,52,30400,Jonathan Burkardt,3/4/2003,4-2-3-1,Daniel Siebert,Match Report,,18,8,14.8,0,0,0,2025,Mainz 05
14,12/8/2024,15:30,Bundesliga,Matchweek 13,Sun,Away,L,3,4,Wolfsburg,2.6,1.2,56,20036,Jonathan Burkardt,3/4/2003,4/4/2002,Timo Gerach,Match Report,,12,5,13.1,1,0,0,2025,Mainz 05
15,12/14/2024,15:30,Bundesliga,Matchweek 14,Sat,Home,W,2,1,Bayern Munich,1,1.4,32,33305,Jonathan Burkardt,3/4/2003,4-2-3-1,Frank Willenborg,Match Report,,8,4,15.1,0,0,0,2025,Mainz 05
16,12/21/2024,15:30,Bundesliga,Matchweek 15,Sat,Away,W,3,1,Eint Frankfurt,0.6,2.4,30,58000,Nadiem Amiri,3/4/2003,3/5/2002,Florian Badstübner,Match Report,,9,3,18.2,0,0,0,2025,Mainz 05
1,8/24/2024,18:30,Bundesliga,Matchweek 1,Sat,Home,W,2,0,Eint Frankfurt,1.7,1.4,69,81365,Emre Can,3/4/2003,4-2-3-1,,Match Report,,20,5,17.2,0,0,0,2025,Dortmund
2,8/31/2024,15:30,Bundesliga,Matchweek 2,Sat,Away,D,0,0,Werder Bremen,0.6,0.3,53,42100,Emre Can,4-2-3-1,3/4/2003,Robert Hartmann,Match Report,,9,4,20.2,0,0,0,2025,Dortmund
3,9/13/2024,20:30,Bundesliga,Matchweek 3,Fri,Home,W,4,2,Heidenheim,2.6,1.8,60,81365,Julian Brandt,4-2-3-1,4-2-3-1,Robert Schröder,Match Report,,12,5,17,0,1,1,2025,Dortmund
5,9/22/2024,17:30,Bundesliga,Matchweek 4,Sun,Away,L,1,5,Stuttgart,0.7,3.4,48,60000,Julian Brandt,4-2-3-1,4/4/2002,Florian Badstübner,Match Report,,7,3,12.9,0,0,0,2025,Dortmund
6,9/27/2024,20:30,Bundesliga,Matchweek 5,Fri,Home,W,4,2,Bochum,3.2,1.3,66,81365,Emre Can,4-2-3-1,4-1-2-1-2,Felix Brych,Match Report,,22,7,16.4,0,1,1,2025,Dortmund
8,10/5/2024,15:30,Bundesliga,Matchweek 6,Sat,Away,L,1,2,Union Berlin,0.7,1.5,67,22012,Emre Can,4-2-3-1,3/4/2003,Tobias Reichel,Match Report,,8,4,18.3,0,0,0,2025,Dortmund
9,10/18/2024,20:30,Bundesliga,Matchweek 7,Fri,Home,W,2,1,St. Pauli,2.6,0.6,74,81365,Emre Can,4-2-3-1,3/4/2003,Matthias Jöllenbeck,Match Report,,20,7,13.4,0,0,0,2025,Dortmund
11,10/26/2024,15:30,Bundesliga,Matchweek 8,Sat,Away,L,1,2,Augsburg,1,0.6,75,30660,Julian Brandt,4-2-3-1,5/3/2002,Tobias Welz,Match Report,,11,4,20.1,0,0,0,2025,Dortmund
13,11/2/2024,18:30,Bundesliga,Matchweek 9,Sat,Home,W,2,1,RB Leipzig,2,0.5,57,81365,Emre Can,4-1-4-1,4/4/2002,Tobias Stieler,Match Report,,20,7,14.3,1,0,0,2025,Dortmund
15,11/9/2024,15:30,Bundesliga,Matchweek 10,Sat,Away,L,1,3,Mainz 05,0.9,2,47,33000,Emre Can,4-1-4-1,3/4/2003,Florian Badstübner,Match Report,,1,0,23,0,1,1,2025,Dortmund
16,11/23/2024,15:30,Bundesliga,Matchweek 11,Sat,Home,W,4,0,Freiburg,1.3,0.8,59,81365,Julian Brandt,4-1-4-1,4-2-3-1,Felix Brych,Match Report,,19,7,18.7,1,0,0,2025,Dortmund
18,11/30/2024,18:30,Bundesliga,Matchweek 12,Sat,Home,D,1,1,Bayern Munich,0.6,1.5,33,81365,Nico Schlotterbeck,4-2-3-1,4-2-3-1,Sven Jablonski,Match Report,,7,2,18.3,0,0,0,2025,Dortmund
19,12/7/2024,18:30,Bundesliga,Matchweek 13,Sat,Away,D,1,1,Gladbach,1.5,1.1,60,54042,Nico Schlotterbeck,4-2-3-1,4-2-3-1,Tobias Stieler,Match Report,,16,3,14.6,0,0,0,2025,Dortmund
21,12/15/2024,17:30,Bundesliga,Matchweek 14,Sun,Home,D,1,1,Hoffenheim,0.5,1,54,81365,Emre Can,4-2-3-1,4/4/2002,Harm Osmers,Match Report,,6,2,16.9,1,0,0,2025,Dortmund
22,12/22/2024,17:30,Bundesliga,Matchweek 15,Sun,Away,W,3,1,Wolfsburg,2.7,1.5,50,28917,Emre Can,4-1-3-2,3/5/2002,Matthias Jöllenbeck,Match Report,,12,4,13.7,0,0,0,2025,Dortmund
1,8/24/2024,15:30,Bundesliga,Matchweek 1,Sat,Away,D,2,2,Augsburg,1.4,1,54,30660,Marco Friedl,3/5/2002,4-1-2-1-2,Sascha Stegemann,Match Report,,11,5,13,0,0,0,2025,Werder Bremen
2,8/31/2024,15:30,Bundesliga,Matchweek 2,Sat,Home,D,0,0,Dortmund,0.3,0.6,47,42100,Marco Friedl,3/4/2003,4-2-3-1,Robert Hartmann,Match Report,,5,1,19.8,1,0,0,2025,Werder Bremen
3,9/15/2024,17:30,Bundesliga,Matchweek 3,Sun,Away,W,2,1,Mainz 05,1.6,1.1,42,32000,Marco Friedl,3/4/2003,3/4/2003,Benjamin Brand,Match Report,,13,3,16.1,0,1,1,2025,Werder Bremen
4,9/21/2024,15:30,Bundesliga,Matchweek 4,Sat,Home,L,0,5,Bayern Munich,0,3,31,42100,Niklas Stark,3/5/2002,4-2-3-1,Bastian Dankert,Match Report,,0,0,,0,0,0,2025,Werder Bremen
5,9/29/2024,17:30,Bundesliga,Matchweek 5,Sun,Away,W,4,3,Hoffenheim,2.9,1.2,64,26018,Niklas Stark,3/4/2003,3-4-1-2,Tobias Reichel,Match Report,,23,10,14.2,1,0,0,2025,Werder Bremen
6,10/5/2024,15:30,Bundesliga,Matchweek 6,Sat,Home,L,0,1,Freiburg,1,1,58,41200,Marco Friedl,3/4/2003,4-2-3-1,Tobias Welz,Match Report,,12,3,19.6,1,0,0,2025,Werder Bremen
7,10/20/2024,17:30,Bundesliga,Matchweek 7,Sun,Away,W,4,2,Wolfsburg,2,1.8,57,28917,Marco Friedl,3/4/2003,3-4-1-2,Daniel Schlager,Match Report,,15,7,16.8,1,0,0,2025,Werder Bremen
8,10/26/2024,18:30,Bundesliga,Matchweek 8,Sat,Home,D,2,2,Leverkusen,1.6,1.3,43,42100,Marco Friedl,3/4/2003,3/4/2003,Florian Badstübner,Match Report,,13,8,16.6,0,0,0,2025,Werder Bremen
10,11/3/2024,17:30,Bundesliga,Matchweek 9,Sun,Away,L,1,4,Gladbach,1.4,2.5,53,54042,Marco Friedl,3/4/2003,4-2-3-1,Bastian Dankert,Match Report,,15,5,15.2,0,0,0,2025,Werder Bremen
11,11/9/2024,15:30,Bundesliga,Matchweek 10,Sat,Home,W,2,1,Holstein Kiel,1.7,0.7,60,42100,Marco Friedl,3/4/2003,3/5/2002,Sören Storks,Match Report,,16,5,15.2,1,0,0,2025,Werder Bremen
12,11/23/2024,18:30,Bundesliga,Matchweek 11,Sat,Away,L,0,1,Eint Frankfurt,0.4,1.1,50,58000,Marco Friedl,3/4/2003,4/4/2002,Florian Badstübner,Match Report,,8,1,20.3,0,0,0,2025,Werder Bremen
13,11/30/2024,15:30,Bundesliga,Matchweek 12,Sat,Home,D,2,2,Stuttgart,1.6,1.8,43,42100,Marco Friedl,4/4/2002,4-2-3-1,Harm Osmers,Match Report,,20,6,15.4,0,0,0,2025,Werder Bremen
15,12/7/2024,15:30,Bundesliga,Matchweek 13,Sat,Away,W,1,0,Bochum,0.8,1.2,48,26000,Marco Friedl,4/4/2002,3/4/2003,Felix Brych,Match Report,,9,1,16.3,0,0,0,2025,Werder Bremen
16,12/14/2024,18:30,Bundesliga,Matchweek 14,Sat,Away,W,2,0,St. Pauli,1,0.6,44,29546,Marco Friedl,3/5/2002,3/4/2003,Robert Hartmann,Match Report,,8,4,17.5,0,0,0,2025,Werder Bremen
17,12/21/2024,15:30,Bundesliga,Matchweek 15,Sat,Home,W,4,1,Union Berlin,2.3,1.3,54,42100,Marco Friedl,3/5/2002,3/4/2003,Florian Exner,Match Report,,10,5,11.9,0,0,0,2025,Werder Bremen
1,8/23/2024,20:30,Bundesliga,Matchweek 1,Fri,Home,L,2,3,Leverkusen,1.6,2.7,43,54042,Jonas Omlin,4-2-3-1,3/4/2003,,Match Report,,14,7,15.3,0,0,0,2025,Monchengladbach
2,8/31/2024,15:30,Bundesliga,Matchweek 2,Sat,Away,W,2,0,Bochum,2.9,0.7,61,26000,Jonas Omlin,4-2-3-1,4-1-2-1-2,Sören Storks,Match Report,,15,5,14.8,0,0,0,2025,Monchengladbach
3,9/14/2024,15:30,Bundesliga,Matchweek 3,Sat,Home,L,1,3,Stuttgart,1.6,2.2,44,53756,Jonas Omlin,4-2-3-1,4-2-2-2,Felix Brych,Match Report,,15,7,15.5,0,0,0,2025,Monchengladbach
4,9/21/2024,18:30,Bundesliga,Matchweek 4,Sat,Away,L,0,2,Eint Frankfurt,1.7,2.7,63,58000,Julian Weigl,4-2-3-1,4/4/2002,Tobias Welz,Match Report,,25,7,17.6,1,0,0,2025,Monchengladbach
5,9/28/2024,15:30,Bundesliga,Matchweek 5,Sat,Home,W,1,0,Union Berlin,0.9,0.7,62,53056,Julian Weigl,4-2-3-1,3/4/2003,Daniel Schlager,Match Report,,8,2,14.6,0,0,0,2025,Monchengladbach
6,10/4/2024,20:30,Bundesliga,Matchweek 6,Fri,Away,L,1,2,Augsburg,0.5,1.3,65,30660,Julian Weigl,4-2-3-1,3/5/2002,Florian Badstübner,Match Report,,11,4,15.1,0,0,0,2025,Monchengladbach
7,10/19/2024,15:30,Bundesliga,Matchweek 7,Sat,Home,W,3,2,Heidenheim,3.6,2,66,50000,Julian Weigl,4-2-3-1,4-2-3-1,Daniel Siebert,Match Report,,19,9,16,0,1,1,2025,Monchengladbach
